Temp,Humd,Label
24,45,1
24,45,1
24,44,1
24,44,1
24,44,1
24,44,1
24,43,1
24,43,1
24,43,1
24,42,1
24,42,1
24,42,1
24,41,1
24,41,1
24,41,1
24,41,1
24,40,1
24,40,1
24,40,1
24,39,1
24,39,1
24,39,1
24,39,1
24,39,1
24,39,1
24,39,1
24,38,1
24,38,1
24,38,1
24,38,1
24,38,1
24,38,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,37,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,36,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,35,1
24,40,1
